Frequency,TMP116,Ambient Temp.,Actual dfreq (ppb)
10000003.04436100,10683.00000000,-4.63000000,-0.12240000
10000003.04440000,10685.00000000,-3.56000000,-0.11850018
10000003.04447200,10688.00000000,-2.31000000,-0.11130013
10000003.04469700,10690.00000000,-1.13000000,-0.08880012
10000003.04453300,10693.00000000,0.00000000,-0.10520015
10000003.04463400,10695.00000000,1.19000000,-0.09510014
10000003.04457900,10698.00000000,2.31000000,-0.10060016
10000003.04483900,10701.00000000,3.56000000,-0.07460006
10000003.04494500,10704.00000000,4.63000000,-0.06400011
10000003.04493600,10706.00000000,5.19000000,-0.06490014
10000003.04491100,10708.00000000,6.38000000,-0.06740000
10000003.04498100,10710.00000000,7.63000000,-0.06040018
10000003.04481600,10713.00000000,8.75000000,-0.07690005
10000003.04502400,10716.00000000,9.94000000,-0.05610008
10000003.04496000,10718.00000000,11.06000000,-0.06250013
10000003.04522100,10721.00000000,12.19000000,-0.03640000
10000003.04520300,10724.00000000,13.25000000,-0.03820006
10000003.04534100,10727.00000000,14.44000000,-0.02440009
10000003.04526400,10730.00000000,15.50000000,-0.03210008
10000003.04538300,10732.00000000,16.69000000,-0.02020001
10000003.04533600,10735.00000000,17.81000000,-0.02490003
10000003.04551800,10737.00000000,18.94000000,-0.00670012
10000003.04552300,10740.00000000,20.13000000,-0.00620000
10000003.04557500,10743.00000000,21.25000000,-0.00100005
10000003.04518200,10745.00000000,22.38000000,-0.04030000
10000003.04540700,10748.00000000,23.44000000,-0.01780000
10000003.04546300,10750.00000000,24.56000000,-0.01220014
10000003.04558500,10752.00000000,25.81000000,0.00000000
10000003.04560900,10755.00000000,26.81000000,0.00239983
10000003.04551200,10758.00000000,27.94000000,-0.00730008
10000003.04549900,10760.00000000,29.00000000,-0.00860002
10000003.04555300,10763.00000000,30.13000000,-0.00320002
10000003.04561300,10766.00000000,31.19000000,0.00279993
10000003.04545300,10768.00000000,32.19000000,-0.01320001
10000003.04571500,10771.00000000,33.38000000,0.01299996
10000003.04535200,10773.00000000,34.50000000,-0.02330001
10000003.04553200,10776.00000000,35.69000000,-0.00530016
10000003.04536500,10778.00000000,36.94000000,-0.02200007
10000003.04534800,10781.00000000,38.13000000,-0.02370011
10000003.04540900,10784.00000000,39.25000000,-0.01760013
10000003.04527600,10787.00000000,40.56000000,-0.03090017
10000003.04542400,10789.00000000,41.63000000,-0.01610015
10000003.04524200,10792.00000000,42.81000000,-0.03430005
10000003.04521400,10794.00000000,44.06000000,-0.03710017
10000003.04508700,10798.00000000,45.19000000,-0.04980005
10000003.04520000,10800.00000000,46.31000000,-0.03850013
10000003.04489100,10803.00000000,47.56000000,-0.06940011
10000003.04529200,10805.00000000,48.63000000,-0.02930015
10000003.04490200,10808.00000000,49.75000000,-0.06830003
10000003.04479900,10810.00000000,51.00000000,-0.07860009
10000003.04480000,10814.00000000,52.13000000,-0.07850006
10000003.04472400,10816.00000000,53.25000000,-0.08610003
10000003.04488100,10819.00000000,54.31000000,-0.07040016
10000003.04478000,10821.00000000,55.56000000,-0.08050017
10000003.04476500,10824.00000000,56.69000000,-0.08200016
10000003.04483600,10826.00000000,57.75000000,-0.07490013
10000003.04482200,10829.00000000,58.81000000,-0.07630009
10000003.04467300,10831.00000000,59.88000000,-0.09120014
10000003.04485500,10834.00000000,60.94000000,-0.07300004
10000003.04471500,10836.00000000,61.94000000,-0.08700006
10000003.04467200,10838.00000000,62.94000000,-0.09130016
10000003.04487600,10841.00000000,64.06000000,-0.07090010
10000003.04453400,10844.00000000,65.19000000,-0.10510013
10000003.04457000,10846.00000000,66.31000000,-0.10150000
10000003.04451300,10848.00000000,67.31000000,-0.10720007
10000003.04418700,10851.00000000,68.44000000,-0.13980009
10000003.04435200,10853.00000000,69.63000000,-0.12330003
10000003.04433800,10856.00000000,70.69000000,-0.12470018
10000003.04403400,10859.00000000,71.69000000,-0.15510004
10000003.04410600,10861.00000000,72.75000000,-0.14790017
10000003.04410400,10863.00000000,73.75000000,-0.14810003
10000003.04388400,10865.00000000,74.88000000,-0.17010011
10000003.04383900,10868.00000000,75.94000000,-0.17460007
10000003.04393300,10870.00000000,77.00000000,-0.16520005
10000003.04390600,10873.00000000,78.13000000,-0.16790014
10000003.04402000,10875.00000000,78.75000000,-0.15650000
10000003.04394300,10876.00000000,79.13000000,-0.16420018
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
